Year,month,ANIMAL_ID,V1
2010,5,mr2009a06,13457.4257601243
2010,6,mr2009a06,15402.115273581
2010,7,mr2009a06,33826.8844788516
2010,6,mr2009a07,15453.6941070316
2010,5,mr2009a07,14601.9754838724
2010,7,mr2009a07,35512.7207902557
2010,6,mr2009a08,18142.0348529616
2010,7,mr2009a08,26119.7265370132
2010,5,mr2009a08,15547.5333769599
2010,5,mr2009a09,14606.6661002025
2010,6,mr2009a09,16766.9919859679
2010,7,mr2009a09,24743.9555771929
2010,7,mr2009a11,25126.4763952825
2010,5,mr2009a11,13760.1902472802
2010,6,mr2009a11,15114.1596871554
2010,6,mr2009a14,24221.0240010828
2010,7,mr2009a14,33329.1199149403
2010,5,mr2009a14,34110.664253188
2010,5,mr2009a15,36278.3296716525
2010,6,mr2009a15,55519.9678696118
2010,7,mr2009a15,53856.8088366187
2010,5,mr2009a16,14540.4009531868
2010,6,mr2009a16,15210.1789240239
2010,7,mr2009a16,23292.3333962938
2010,7,mr2009a17,26910.7301284578
2010,6,mr2009a17,15257.7100284374
2010,5,mr2009a17,13481.2586296254
2010,6,mr2009a18,17648.9097662706
2010,5,mr2009a18,14150.6833616634
2010,7,mr2009a18,42028.5850156095
2010,6,mr2009a21,16350.10470345
2010,7,mr2009a21,24142.990914305
2010,6,mr2009a24,21387.2705250205
2010,5,mr2009a24,18836.4429177081
2010,7,mr2009a24,33871.6629156363
2010,5,mr2009a25,13709.7173473453
2010,6,mr2009a25,21289.3740390884
2010,7,mr2009a25,24161.8083995404
2010,6,mr2009a26,26412.8680436594
2010,5,mr2009a26,17788.9748149731
2010,7,mr2009a26,41873.4723292524
2010,6,mr2009a27,16239.8201174167
2010,7,mr2009a27,23537.0920947914
2010,5,mr2009a27,15081.6137078238
2010,5,mr2009a28,41771.6571405299
2010,6,mr2009a28,61914.7191489371
2010,7,mr2009a28,57006.9880952067
2010,7,mr2009a29,37298.6556550878
2010,6,mr2009a29,15166.2422972046
2010,5,mr2009a29,22571.6537940577
2010,6,mr2009a30,15441.117271535
2010,5,mr2009a30,16669.9788685464
2010,7,mr2009a30,30167.0473259271
