"","ID","Year","NNdist","CalvingGround","Calved","CalvingDate","Lost","LossDate","NNdistkm"
"87","mr2011a02","2011",20192.7129246487,"On",1,2011-05-28,1,2011-06-10,20.1927129246487
"88","mr2011a02","2012",32390.7665574571,"Off",1,2012-05-22,0,NA,32.3907665574571
"89","mr2011a03","2011",21468.4580403038,"On",1,2011-05-27,1,2011-06-10,21.4684580403038
"90","mr2011a04","2011",41371.4607751866,"Off",1,2011-05-28,1,2011-06-08,41.3714607751866
"91","mr2011a04","2012",35820.5968388771,"Off",1,2012-05-25,0,NA,35.8205968388771
"92","mr2011a04","2013",32023.9662000683,"On",1,2013-05-24,1,2013-05-29,32.0239662000683
"93","mr2011a05","2011",17587.9784798547,"On",1,2011-06-13,1,2011-06-15,17.5879784798547
"94","mr2011a05","2012",22483.1658164486,"On",NA,NA,0,NA,22.4831658164486
"95","mr2011a06","2011",17700.7623899525,"On",1,2011-05-22,1,NA,17.7007623899525
"96","mr2012a01","2013",39494.6694937461,"Off",1,2013-05-27,1,2013-06-04,39.4946694937461
"97","mr2012a02","2013",38924.5510627497,"Off",1,2013-05-22,0,NA,38.9245510627497
"98","mr2012a03","2013",31363.5576804679,"On",1,2013-05-26,0,NA,31.3635576804679
"99","mr2012a04","2013",30177.7223332067,"On",1,2013-06-03,1,2013-06-06,30.1777223332067
"100","mr2012a05","2013",31086.2365087933,"On",1,2013-05-28,1,2013-05-31,31.0862365087933
"101","mr2012a06","2013",27947.979830157,"On",1,2013-05-29,1,2013-06-09,27.947979830157
