ID,Year ,Month,Periphery
mr2009a01,2010,7,
mr2009a02,2010,7,
mr2009a03,2010,7,
mr2009a04,2010,7,
mr2009a06,2010,7,
mr2009a07,2010,7,
mr2009a08,2010,7,
mr2009a09,2010,7,
mr2009a11,2010,7,
mr2009a13,2010,7,
mr2009a14,2010,7,
mr2009a15,2010,7,
mr2009a16,2010,7,
mr2009a17,2010,7,
mr2009a18,2010,7,
mr2009a21,2010,7,
mr2009a23,2010,7,
mr2009a24,2010,7,
mr2009a25,2010,7,
mr2009a26,2010,7,
mr2009a27,2010,7,
mr2009a28,2010,7,
mr2009a29,2010,7,
mr2009a30,2010,7,
mr2009a31,2010,7,
mr2009a10,2010,7,
mr2010a01,2010,7,
mr2010a03,2010,7,
mr2011a01,2010,7,
mr2011a02,2010,7,
mr2011a03,2010,7,
mr2011a04,2010,7,
mr2011a05,2010,7,
mr2011a06,2010,7,
mr2012a01,2010,7,
mr2012a02,2010,7,
mr2012a03,2010,7,
mr2012a04,2010,7,
mr2012a05,2010,7,
mr2012a06,2010,7,
mr2013a15,2010,7,
mr2009a01,2011,5,
mr2009a02,2011,5,0
mr2009a03,2011,5,0
mr2009a04,2011,5,
mr2009a06,2011,5,0
mr2009a07,2011,5,0
mr2009a08,2011,5,0
mr2009a09,2011,5,0
mr2009a11,2011,5,0
mr2009a13,2011,5,
mr2009a14,2011,5,
mr2009a15,2011,5,
mr2009a16,2011,5,1
mr2009a17,2011,5,
mr2009a18,2011,5,0
mr2009a21,2011,5,0
mr2009a23,2011,5,
mr2009a24,2011,5,0
mr2009a25,2011,5,0
mr2009a26,2011,5,
mr2009a27,2011,5,
mr2009a28,2011,5,2
mr2009a29,2011,5,
mr2009a30,2011,5,0
mr2009a31,2011,5,0
mr2009a10,2011,5,0
mr2010a01,2011,5,0
mr2010a03,2011,5,1
mr2011a01,2011,5,2
mr2011a02,2011,5,0
mr2011a03,2011,5,1
mr2011a04,2011,5,2
mr2011a05,2011,5,0
mr2011a06,2011,5,0
mr2012a01,2011,5,
mr2012a02,2011,5,
mr2012a03,2011,5,
mr2012a04,2011,5,
mr2012a05,2011,5,
mr2012a06,2011,5,
mr2013a15,2011,5,
mr2009a01,2011,6,
mr2009a02,2011,6,0
mr2009a03,2011,6,1
mr2009a04,2011,6,
mr2009a06,2011,6,0
mr2009a07,2011,6,0
mr2009a08,2011,6,1
mr2009a09,2011,6,0
mr2009a11,2011,6,0
mr2009a13,2011,6,
mr2009a14,2011,6,
mr2009a15,2011,6,
mr2009a16,2011,6,1
mr2009a17,2011,6,
mr2009a18,2011,6,0
mr2009a21,2011,6,0
mr2009a23,2011,6,
mr2009a24,2011,6,1
mr2009a25,2011,6,0
mr2009a26,2011,6,
mr2009a27,2011,6,
mr2009a28,2011,6,2
mr2009a29,2011,6,
mr2009a30,2011,6,0
mr2009a31,2011,6,0
mr2009a10,2011,6,0
mr2010a01,2011,6,0
mr2010a03,2011,6,1
mr2011a01,2011,6,2
mr2011a02,2011,6,0
mr2011a03,2011,6,1
mr2011a04,2011,6,2
mr2011a05,2011,6,1
mr2011a06,2011,6,0
mr2012a01,2011,6,
mr2012a02,2011,6,
mr2012a03,2011,6,
mr2012a04,2011,6,
mr2012a05,2011,6,
mr2012a06,2011,6,
mr2013a15,2011,6,
mr2009a01,2011,7,
mr2009a02,2011,7,1
mr2009a03,2011,7,0
mr2009a04,2011,7,
mr2009a06,2011,7,0
mr2009a07,2011,7,0
mr2009a08,2011,7,0
mr2009a09,2011,7,0
mr2009a11,2011,7,0
mr2009a13,2011,7,
mr2009a14,2011,7,
mr2009a15,2011,7,
mr2009a16,2011,7,0
mr2009a17,2011,7,
mr2009a18,2011,7,0
mr2009a21,2011,7,0
mr2009a23,2011,7,
mr2009a24,2011,7,1
mr2009a25,2011,7,0
mr2009a26,2011,7,
mr2009a27,2011,7,
mr2009a28,2011,7,2
mr2009a29,2011,7,
mr2009a30,2011,7,0
mr2009a31,2011,7,0
mr2009a10,2011,7,0
mr2010a01,2011,7,1
mr2010a03,2011,7,
mr2011a01,2011,7,2
mr2011a02,2011,7,1
mr2011a03,2011,7,0
